公告日期,公告名稱,編號,縣市,工廠名稱或違章建築,地址,地號,使用分區,使用地,縣市政府查處情形,裝設AMI監控情形,違規建物樣態
2020-12-01,查處名單,78,屏東縣,○○砂石有限公司,,屏東縣高樹鄉泰山村泰和段,,,已歇業,,
2020-12-01,查處名單,79,屏東縣,○○仁,,屏東縣竹田鄉鳳明村鳳新段,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,74,屏東縣,○○企業社,,屏東縣佳冬鄉昌隆村昌南段136地號,,,已歇業,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,75,屏東縣,○○砂石有限公司,,屏東縣高樹鄉泰山村泰和段540地號,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,76,屏東縣,○○仁,,屏東縣竹田鄉鳳明村鳳新段895地號,,,已歇業,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,128,屏東縣,○○製材工作所,屏東縣長治鄉德協村德新路,長治鄉竹葉林段116地號,,,配合停工,,
2021-01-04,經勘查非屬工廠及未達規模名單,217,屏東縣,○盆,內埔鄉南平一巷,內埔鄉大興段,,,非屬工廠,已裝設,住宅
2021-01-04,經勘查非屬工廠及未達規模名單,218,屏東縣,地主:○○元,,屏東市頭前溪段,,,非屬工廠,,倉庫
2021-01-04,經勘查非屬工廠及未達規模名單,219,屏東縣,○○資訊有限公司,,屏東市清溪段,,,非屬工廠,已裝設,興建中建物
2021-01-04,經勘查非屬工廠及未達規模名單,220,屏東縣,○○工程行,長治鄉香揚路,長治鄉香潭段,,,非屬工廠,已裝設,倉庫
2021-01-04,經勘查非屬工廠及未達規模名單,292,屏東縣,○○茹,屏東縣潮州鎮興美里民安路,潮州鎮興美段,,,非屬工廠,,倉庫
2021-01-04,經勘查非屬工廠及未達規模名單,293,屏東縣,○○金,屏東縣長治鄉崙上村中興路,長治鄉德榮段,,,非屬工廠,,住家
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),74,屏東縣,○○建材股份有限公司,屏東縣琉球鄉天福村本漁段,"屏東縣琉球鄉天福村本漁段794,794-1,795地號",,,已歇業,已裝設,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),75,屏東縣,○○企業社,,屏東縣佳冬鄉昌隆村昌南段136地號,,,已歇業,已裝設,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),76,屏東縣,○○砂石有限公司,,屏東縣高樹鄉泰山村泰和段540地號,,,已歇業,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),77,屏東縣,○○仁,,屏東縣竹田鄉鳳明村鳳新段895地號,,,已歇業,已裝設,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),120,屏東縣,○○製材工作所,屏東縣長治鄉德協村德新路,長治鄉竹葉林段116地號,,,配合停工,,
2021-02-01,,212,屏東縣,,內埔鄉南平一巷,內埔鄉大興段,,,非屬工廠,已裝設,住宅
2021-02-01,,213,屏東縣,地主:○○元,,屏東市頭前溪段,,,非屬工廠,,倉庫
2021-02-01,,214,屏東縣,○○資訊有限公司,,屏東市清溪段,,,非屬工廠,已裝設,興建中建物
2021-02-01,,215,屏東縣,○○工程行,長治鄉香揚路,長治鄉香潭段,,,非屬工廠,已裝設,倉庫
2021-02-01,,290,屏東縣,○○茹,屏東縣潮州鎮興美里民安路,潮州鎮興美段,,,非屬工廠,,倉庫
2021-02-01,,291,屏東縣,○○金,屏東縣長治鄉崙上村中興路,長治鄉德榮段,,,非屬工廠,,住家
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,76,屏東縣,○○建材股份有限公司,屏東縣琉球鄉天福村本漁段,"屏東縣琉球鄉天福村本漁段794,794-1,795地號",,,已歇業,已裝設,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,77,屏東縣,○○企業社,屏東縣佳冬鄉昌隆村昌南段,屏東縣佳冬鄉昌隆村昌南段136地號,,,已歇業,已裝設,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,78,屏東縣,○○砂石有限公司,屏東縣高樹鄉泰山村,屏東縣高樹鄉泰山村泰和段540地號,,,已歇業,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,79,屏東縣,○○仁,,屏東縣竹田鄉鳳明村鳳新段895地號,,,已歇業,已裝設,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,121,屏東縣,○○製材工作所,屏東縣長治鄉德協村德新路,長治鄉竹葉林段116地號,,,配合停工,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,187,屏東縣,○盆,內埔鄉南平一巷,內埔鄉大興段,,,非屬工廠,已裝設,住宅
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,188,屏東縣,地主:○○元,屏東市頭前溪段,屏東市頭前溪段,,,非屬工廠,,倉庫
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,189,屏東縣,○○資訊有限公司,屏東市清溪段,屏東市清溪段,,,非屬工廠,已裝設,興建中建物
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,190,屏東縣,○○工程行,長治鄉香揚路,長治鄉香潭段,,,非屬工廠,已裝設,倉庫
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,267,屏東縣,○○茹,屏東縣潮州鎮興美里民安路,潮州鎮興美段,,,非屬工廠,,倉庫
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,268,屏東縣,○○金,屏東縣長治鄉崙上村中興路,長治鄉德榮段,,,非屬工廠,,住家
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,75,屏東縣,○○建材股份有限公司,屏東縣琉球鄉天福村本漁段,"屏東縣琉球鄉天福村本漁段794,794-1,795地號",,,已歇業,已裝設,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,76,屏東縣,○○企業社,屏東縣佳冬鄉昌隆村昌南段,屏東縣佳冬鄉昌隆村昌南段136地號,,,已歇業,已裝設,
