公告日期,公告名稱,編號,縣市,工廠名稱或違章建築,地址,地號,使用分區,使用地,縣市政府查處情形,裝設AMI監控情形,違規建物樣態
2020-12-01,查處名單,43,高雄市,○○塑膠廠,高雄市大寮區鳳屏二路,大寮區磚子磘段,,,查處後勒令停工,,
2020-12-01,查處名單,44,高雄市,○○企業股份有限公司,高雄市岡山區本洲路,岡山區新本洲段,,,查處後勒令停工,,
2020-12-01,查處名單,45,高雄市,○○展業有限公司,高雄市岡山區嘉興路,岡山區嘉興段,,,查處後勒令停工,,
2020-12-01,查處名單,46,高雄市,○○木型有限公司,高雄市岡山區田厝路,岡山區拕子段,,,查處後勒令停工,,
2021-01-04,待勘查案件名單,3,高雄市,,,大寮區山子頂段,,,,,
2021-01-04,待勘查案件名單,4,高雄市,,,岡山區嘉興段,,,,,
2021-01-04,待勘查案件名單,5,高雄市,,,岡山區嘉興段,,,,,
2021-01-04,待勘查案件名單,6,高雄市,,,永安區維新段,,,,,
2021-01-04,待勘查案件名單,7,高雄市,,楠梓區高楠公路,,,,,,
2021-01-04,經勘查非屬工廠及未達規模名單,106,高雄市,,,路竹區新園段,,,非屬工廠,已裝設,興建中建物
2021-01-04,經勘查非屬工廠及未達規模名單,107,高雄市,,,路竹區新園段,,,非屬工廠,已裝設,興建中建物
2021-01-04,經勘查非屬工廠及未達規模名單,108,高雄市,,,燕巢區鳳雄段,,,非屬工廠,已裝設,興建中建物
2021-01-04,經勘查非屬工廠及未達規模名單,109,高雄市,○○興業有限公司,,岡山區拕子段,,,非屬工廠,,螺絲包裝、倉庫
2021-01-04,經勘查非屬工廠及未達規模名單,265,高雄市,○○木業有限公司,,梓官區新興段,,,未達規模,,未達規模
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),122,高雄市,○○塑膠廠,高雄市大寮區鳳屏二路,大寮區磚子磘段2079地號,,,查處後勒令停工,已裝設,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),123,高雄市,○○展業有限公司,高雄市岡山區嘉興路,岡山區嘉興段2083地號(部分使用),,,查處後勒令停工,已裝設,
2021-02-01,,100,高雄市,,,路竹區新園段,,,非屬工廠,已裝設,興建中建物
2021-02-01,,101,高雄市,,,路竹區新園段,,,非屬工廠,已裝設,興建中建物
2021-02-01,,102,高雄市,,,燕巢區鳳雄段,,,非屬工廠,已裝設,興建中建物
2021-02-01,,103,高雄市,○○興業有限公司,高雄市岡山區嘉新東路,三和段,,,非屬工廠,,螺絲包裝、倉庫
2021-02-01,,258,高雄市,○○木業有限公司,,梓官區新興段,,,未達規模,,未達規模
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,42,高雄市,○○塑膠廠,高雄市大寮區鳳屏二路,大寮區磚子磘段2079地號,,,查處後勒令停工,已裝設,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,43,高雄市,○○展業有限公司,高雄市岡山區嘉興路,岡山區嘉興段2083地號(部分使用),,,查處後勒令停工,已裝設,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,25,高雄市,○○實業有限公司,高雄市鳥松區東山路,鳥松區松埔段854地號,,,勒令停工,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,26,高雄市,○○精密股份有限公司,高雄市岡山區成功路,岡山區為隨段512、514地號,,,勒令停工,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,85,高雄市,,,燕巢區鳳雄段,,,非屬工廠,已裝設,興建中建物
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,86,高雄市,○○興業有限公司,高雄市岡山區嘉新東路二段,岡山區三和段,,,非屬工廠,,螺絲包裝、倉庫
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,233,高雄市,○○木業有限公司,,梓官區新興段,,,未達規模,,未達規模
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,42,高雄市,○○塑膠廠,高雄市大寮區鳳屏二路,大寮區磚子磘段2079地號,,,查處後勒令停工,已裝設,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,43,高雄市,○○展業有限公司,高雄市岡山區嘉興路,岡山區嘉興段2083地號(部分使用),,,查處後勒令停工,已裝設,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,22,高雄市,○○實業有限公司,高雄市鳥松區東山路,鳥松區松埔段854地號,,,勒令停工,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,23,高雄市,○○精密股份有限公司,高雄市岡山區成功路,岡山區為隨段512、514地號,,,勒令停工,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,34,高雄市,○○鑫企業有限公司,大寮區興中街,大寮區山子頂段2228地號,,,勒令停工,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,35,高雄市,○○興業有限公司,鳥松區美山路,鳥松區大脚腿段1297-7地號,,,勒令停工,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,36,高雄市,○○精密機械有限公司,鳥松區美山路,鳥松區大脚腿段1297-6地號,,,勒令停工,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,85,高雄市,,,燕巢區鳳雄段,,,非屬工廠,已裝設,興建中建物
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,86,高雄市,○○興業有限公司,高雄市岡山區嘉新東路二段,岡山區三和段,,,非屬工廠,,螺絲包裝、倉庫
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,102,高雄市,,,路竹區新園段,,,非屬工廠,已裝設,興建中建物
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,103,高雄市,,,路竹區新園段,,,非屬工廠,已裝設,興建中建物
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,104,高雄市,,,燕巢區鳳雄段,,,非屬工廠,已裝設,興建中建物
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,105,高雄市,○○興業有限公司,高雄市岡山區嘉新東路,岡山區拕子段,,,非屬工廠,,螺絲包裝、倉庫
2021-05-03,(110年)經勘查非屬工廠及未達規模名單,24,高雄市,,大社區嘉誠里嘉誠路,,,,非屬工廠,,民宅
2021-05-03,(110年)經勘查非屬工廠及未達規模名單,25,高雄市,,大社區嘉誠里蜈潭巷,,,,非屬工廠,,農地及農舍
2021-05-03,(109年)地方政府優先查處之疑似新增未登記工廠情形,40,高雄市,○○塑膠廠,高雄市大寮區鳳屏二路,大寮區磚子磘段2079地號,,,查處後勒令停工,已裝設,
2021-05-03,(109年)地方政府優先查處之疑似新增未登記工廠情形,41,高雄市,○○展業有限公司,高雄市岡山區嘉興路,岡山區嘉興段2083地號(部分使用),,,已歇業,已裝設,
2021-05-03,(110年)地方政府優先查處之疑似新增未登記工廠情形,27,高雄市,○○實業有限公司,高雄市鳥松區東山路,鳥松區松埔段854地號,,,勒令停工,,
2021-05-03,(110年)地方政府優先查處之疑似新增未登記工廠情形,28,高雄市,○○精密股份有限公司,高雄市岡山區成功路,岡山區為隨段512、514地號,,,勒令停工,,
2021-05-03,(110年)地方政府優先查處之疑似新增未登記工廠情形,41,高雄市,○○鑫企業有限公司,大寮區興中街,大寮區山子頂段2228地號,,,勒令停工,,
2021-05-03,(110年)地方政府優先查處之疑似新增未登記工廠情形,42,高雄市,○○興業有限公司,鳥松區美山路,鳥松區大脚腿段1297-7地號,,,勒令停工,,
2021-05-03,(110年)地方政府優先查處之疑似新增未登記工廠情形,43,高雄市,○○精密機械有限公司,鳥松區美山路,鳥松區大脚腿段1297-6地號,,,勒令停工,,
2021-06-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形統計表,41,高雄市,,,路竹區新園段(2802)3392地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-06-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形統計表,42,高雄市,,,路竹區新園段(2802)3393地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-06-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形統計表,43,高雄市,,,岡山區拕子段1057-5、1058-1、1058-3、1058-4地號,一般農業區,農牧用地,"裁處罰鍰                   依工廠管理輔導法規定申請納管審核中",,
2021-06-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形統計表,129,高雄市,,,梓官區新興段698、699地號,一般農業區,農牧用地,"裁處罰鍰                   依工廠管理輔導法規定申請納管審核中",,
2021-06-04,(109)地方政府優先查處之疑似新增未登記工廠情形,40,高雄市,○○展業有限公司,高雄市岡山區嘉興路,岡山區嘉興段2083地號(部分使用),,,已歇業,是,
2021-06-04,(109)地方政府優先查處之疑似新增未登記工廠情形,69,高雄市,○○合,,大寮區山子頂段4142-3、4142-4、4142-5地號,,,勒令停工,,
2021-06-04,(109)地方政府優先查處之疑似新增未登記工廠情形,99,高雄市,○○豐企業有限公司,高雄市大寮區興中街,山子頂段2227、2227-1地號,,,勒令停工,是,
2021-06-04,(109)地方政府優先查處之疑似新增未登記工廠情形,100,高雄市,○○企業社,高雄市大樹區九大路,維新段33-37地號,,,勒令停工,是,
2021-07-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年6月18日),41,高雄市,,,路竹區新園段3392地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-07-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年6月18日),42,高雄市,,,路竹區新園段3393地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-07-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年6月18日),43,高雄市,,,岡山區拕子段1057-5、1058-1、1058-3、1058-4地號,一般農業區,農牧用地,"裁處罰鍰                   依工廠管理輔導法規定申請納管審核中",,
2021-07-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年6月18日),130,高雄市,,,梓官區新興段698、699地號,一般農業區,農牧用地,"裁處罰鍰                   依工廠管理輔導法規定申請納管審核中",,
2021-07-01,(109年)地方政府優先查處之疑似新增未登記工廠情形,40,高雄市,○○展業有限公司,高雄市岡山區嘉興路,岡山區嘉興段2083地號(部分使用),,,已歇業,是,
2021-07-01,(109年)地方政府優先查處之疑似新增未登記工廠情形,68,高雄市,○○合,,大寮區山子頂段4142-3、4142-4、4142-5地號,,,勒令停工,,
2021-07-01,(109年)地方政府優先查處之疑似新增未登記工廠情形,69,高雄市,○○塑膠有限公司,岡山區嘉興路,岡山區嘉興段2083地號,,,勒令停工,是,
2021-07-01,(109年)地方政府優先查處之疑似新增未登記工廠情形,99,高雄市,○○豐企業有限公司,高雄市大寮區興中街,山子頂段2227、2227-1地號,,,勒令停工,是,
2021-07-01,(109年)地方政府優先查處之疑似新增未登記工廠情形,100,高雄市,○○企業社,高雄市仁武區工業二路,竹園段1135-8地號,,,勒令停工,是,
2021-07-01,(109年)地方政府優先查處之疑似新增未登記工廠情形,101,高雄市,○○企業社,高雄市大樹區九大路,維新段33-37地號,,,勒令停工,是,
2021-07-01,(109年)地方政府優先查處之疑似新增未登記工廠情形,102,高雄市,○○工程有限公司,高雄市仁武區公館一巷無門牌,觀音湖段1248-13地號,,,勒令停工,,
2021-07-01,(110年)地方政府優先查處之疑似新增未登記工廠情形,26,高雄市,○○實業有限公司,高雄市鳥松區東山路,鳥松區松埔段854地號,,,勒令停工,,
2021-07-01,(110年)地方政府優先查處之疑似新增未登記工廠情形,27,高雄市,○○精密股份有限公司,高雄市岡山區成功路,岡山區為隨段512、514地號,,,勒令停工,是,
2021-07-01,(110年)地方政府優先查處之疑似新增未登記工廠情形,40,高雄市,○○興業有限公司,鳥松區美山路,鳥松區大脚腿段1297-7地號,,,勒令停工,,
