公告日期,公告名稱,編號,縣市,工廠名稱或違章建築,地址,地號,使用分區,使用地,縣市政府查處情形,裝設AMI監控情形,違規建物樣態
2020-12-01,查處名單,66,嘉義縣,○○企業社,嘉義縣民雄鄉大崎村大丘園,嘉義縣民雄鄉大崎腳段,,,已歇業,,
2020-12-01,查處名單,67,嘉義縣,○○五金有限公司,嘉義縣民雄鄉興中村11鄰坔墘,嘉義縣民雄鄉民興段,,,配合停工,,
2020-12-01,查處名單,68,嘉義縣,○○板金有限公司,嘉義縣民雄鄉寮頂村頂寮,嘉義縣民雄鄉頂寮段頂寮小段,,,查處後勒令停工,,
2020-12-01,查處名單,69,嘉義縣,○○企業社,嘉義縣水上鄉寬士村崎子頭,嘉義縣水上鄉崎子頭段崎子頭小段,,,已歇業,,
2020-12-01,查處名單,70,嘉義縣,○○能源科技有限公司,嘉義縣水上鄉大崛村江竹仔腳,嘉義縣水上鄉大崙段重劃小段,,,已歇業,,
2020-12-01,查處名單,71,嘉義縣,○○開發股份有限公司,嘉義縣水上鄉柳鄉村柳子林,嘉義縣水上鄉柳鄉段,,,查處後勒令停工,,
2020-12-01,查處名單,72,嘉義縣,○○開發國際有限公司,嘉義縣水上鄉義興村溪洲,嘉義縣水上鄉新番子寮段,,,查處後勒令停工,,
2020-12-01,查處名單,73,嘉義縣,○○金屬有限公司,嘉義縣大林鎮排路里,嘉義縣大林鎮西結段,,,查處後勒令停工,,
2020-12-01,查處名單,74,嘉義縣,○○鐵材行,嘉義縣新港鄉潭大村大客,嘉義縣新港鄉大客段頂客小段,,,查處後勒令停工,,
2020-12-01,查處名單,75,嘉義縣,○○服飾有限公司,嘉義縣新港鄉中庄村中正路,嘉義縣新港鄉古民段新民小段,,,查處後勒令停工,,
2020-12-01,查處名單,76,嘉義縣,○○爾企業社,嘉義縣大林鎮過溪里過溪,嘉義縣大林鎮新大埔美段,,,查處後勒令停工,,
2020-12-01,查處名單,77,嘉義縣,○○產業有限公司,嘉義縣水上鄉三和村新和庄,嘉義縣水上鄉粗溪新段,,,配合停工,,
2020-12-01,查處名單,87,嘉義縣,○○五金企業社,朴子市崁前里崁前,朴子市鴨母寮段竹村小段,,,查處後勒令停工,,
2020-12-01,查處名單,88,嘉義縣,○○企業社,民雄鄉興中村義橋,民雄鄉江厝店段,,,執行停止供電供水,,
2021-01-04,經勘查屬(新增)未登記工廠名單,64,嘉義縣,○○企業社,嘉義縣民雄鄉大崎村大丘園,嘉義縣民雄鄉大崎腳段287-8地號,,,已歇業,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,65,嘉義縣,○○五金有限公司,嘉義縣民雄鄉興中村11鄰坔墘,嘉義縣民雄鄉民興段231,,,配合停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,66,嘉義縣,○○板金有限公司,嘉義縣民雄鄉寮頂村頂寮,嘉義縣民雄鄉頂寮段頂寮小段361-1地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,67,嘉義縣,○○企業社,嘉義縣水上鄉寬士村崎子頭,嘉義縣水上鄉崎子頭段崎子頭小段0104地號,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,68,嘉義縣,○○能源科技有限公司,嘉義縣水上鄉大崛村江竹仔腳,嘉義縣水上鄉大崙段重劃小段0249地號,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,69,嘉義縣,○○開發股份有限公司,嘉義縣水上鄉柳鄉村柳子林,嘉義縣水上鄉柳鄉段15260000,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,70,嘉義縣,○○開發國際有限公司,嘉義縣水上鄉義興村溪洲,嘉義縣水上鄉新番子寮段2128、2129、2175地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,71,嘉義縣,○○鐵材行,嘉義縣新港鄉潭大村大客,嘉義縣新港鄉大客段頂客小段60地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,72,嘉義縣,○○有限公司,嘉義縣大林鎮過溪里過溪,嘉義縣大林鎮新大埔美段3038、3039、3040、3044地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,73,嘉義縣,○○產業有限公司,嘉義縣水上鄉三和村新和庄,嘉義縣水上鄉粗溪新段178地號,,,配合停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,84,嘉義縣,○○企業有限公司,嘉義縣太保市春珠里3鄰春珠,太保市春珠小段1180、1181、1182、1176、1176-1地號,,,配合停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,85,嘉義縣,○○企業社,民雄鄉興中村義橋,民雄鄉江厝店段616、616-1地號,,,執行停止供電供水,,
2021-01-04,經勘查屬(新增)未登記工廠名單,127,嘉義縣,○○企業社,嘉義縣新港鄉三間村三間厝,嘉義縣新港鄉三間厝段761、762地號,,,查處後勒令停工,,
2021-01-04,經勘查非屬工廠及未達規模名單,208,嘉義縣,○○農藥行,嘉義縣朴子市竹村里鴨母寮,朴子市母寮段竹村小段,,,非屬工廠,已裝設,倉儲
2021-01-04,經勘查非屬工廠及未達規模名單,209,嘉義縣,○○股份有限公司,嘉義縣中埔鄉和睦村司公廍,中埔鄉王爺段,,,非屬工廠,已裝設,倉儲
2021-01-04,經勘查非屬工廠及未達規模名單,210,嘉義縣,○○企業社,嘉義縣民雄鄉福興村,嘉義縣民雄鄉福興段,,,未達規模,已裝設,工廠
2021-01-04,經勘查非屬工廠及未達規模名單,211,嘉義縣,○○鋁業有限公司,嘉義縣中埔鄉和美村中山路,嘉義縣中埔鄉大義段,,,未達規模,已裝設,工廠
2021-01-04,經勘查非屬工廠及未達規模名單,212,嘉義縣,立揚服飾有限公司,嘉義縣新港鄉中庄村中正路289號,嘉義縣新港鄉古民段新民小段,,,未達規模,,工廠
2021-01-04,經勘查非屬工廠及未達規模名單,213,嘉義縣,○○精品門窗有限公司,嘉義縣中埔鄉金蘭村田寮,嘉義縣中埔鄉田寮段,,,非屬工廠,已裝設,倉儲
2021-01-04,經勘查非屬工廠及未達規模名單,214,嘉義縣,○○食品工廠,嘉義縣新港鄉三間村三間厝,嘉義縣新港鄉中工段,,,未達規模,,工廠
2021-01-04,經勘查非屬工廠及未達規模名單,215,嘉義縣,○○責任嘉義縣嘉溪果菜生產合作社,嘉義縣溪口鄉溪西村潭肚寮,嘉義縣溪口鄉游厝段游東小段,,,非屬工廠,,農產加工設施
2021-01-04,經勘查非屬工廠及未達規模名單,275,嘉義縣,,民雄鄉牛稠溪,民雄鄉牛稠溪段,,,非屬工廠,,興建中建築物
2021-01-04,經勘查非屬工廠及未達規模名單,276,嘉義縣,,,太保市過溝段過溝小段,,,非屬工廠,,興建中建築物
2021-01-04,經勘查非屬工廠及未達規模名單,277,嘉義縣,○○有限公司,嘉義縣新港鄉潭大村大竹圍,新港鄉潭子墘段潭大小段,,,非屬工廠,,倉儲
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),64,嘉義縣,○○企業社,嘉義縣民雄鄉大崎村大丘園,嘉義縣民雄鄉大崎腳段287-8地號,,,已歇業,已裝設,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),65,嘉義縣,○○五金有限公司,嘉義縣民雄鄉興中村11鄰坔墘,嘉義縣民雄鄉民興段231,,,配合停工,已裝設,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),66,嘉義縣,○○板金有限公司,嘉義縣民雄鄉寮頂村頂寮,嘉義縣民雄鄉頂寮段頂寮小段361-1地號,,,查處後勒令停工,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),67,嘉義縣,○○企業社,嘉義縣水上鄉寬士村崎子頭,嘉義縣水上鄉崎子頭段崎子頭小段0104地號,,,已歇業,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),68,嘉義縣,○○能源科技有限公司,嘉義縣水上鄉大崛村江竹仔腳,嘉義縣水上鄉大崙段重劃小段0249地號,,,已歇業,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),69,嘉義縣,○○開發股份有限公司,嘉義縣水上鄉柳鄉村柳子林,嘉義縣水上鄉柳鄉段15260000,,,查處後勒令停工,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),70,嘉義縣,○○開發國際有限公司,嘉義縣水上鄉義興村溪洲,嘉義縣水上鄉新番子寮段2128、2129、2175地號,,,查處後勒令停工,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),71,嘉義縣,○○鐵材行,嘉義縣新港鄉潭大村大客,嘉義縣新港鄉大客段頂客小段60地號,,,查處後勒令停工,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),72,嘉義縣,○○有限公司(原艾思爾企業社),嘉義縣大林鎮過溪里過溪,嘉義縣大林鎮新大埔美段3038、3039、3040、3044地號,,,查處後勒令停工,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),73,嘉義縣,○○產業有限公司,嘉義縣水上鄉三和村新和庄,嘉義縣水上鄉粗溪新段178地號,,,配合停工,已裝設,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),85,嘉義縣,○○企業有限公司,嘉義縣太保市春珠里3鄰春珠,太保市春珠小段1180、1181、1182、1176、1176-1地號,,,配合停工,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),86,嘉義縣,○○企業社,民雄鄉興中村義橋,民雄鄉江厝店段616、616-1地號,,,執行停止供電供水,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),119,嘉義縣,○○企業社,嘉義縣新港鄉三間村三間厝,嘉義縣新港鄉三間厝段761、762地號,,,查處後勒令停工,,
2021-02-01,,203,嘉義縣,○○農藥行,嘉義縣朴子市竹村里鴨母寮,朴子市母寮段竹村小段,,,非屬工廠,已裝設,倉儲
2021-02-01,,204,嘉義縣,○○股份有限公司,嘉義縣中埔鄉和睦村司公廍,中埔鄉王爺段,,,非屬工廠,已裝設,倉儲
2021-02-01,,205,嘉義縣,○○企業社,嘉義縣民雄鄉福興村,嘉義縣民雄鄉福興段,,,未達規模,已裝設,工廠
2021-02-01,,206,嘉義縣,○○鋁業有限公司,嘉義縣中埔鄉和美村中山路,嘉義縣中埔鄉大義段,,,未達規模,已裝設,工廠
2021-02-01,,207,嘉義縣,○○服飾有限公司,嘉義縣新港鄉中庄村中正路,嘉義縣新港鄉古民段新民小段,,,未達規模,,工廠
2021-02-01,,208,嘉義縣,○○精品門窗有限公司,嘉義縣中埔鄉金蘭村田寮,嘉義縣中埔鄉田寮段,,,非屬工廠,已裝設,倉儲
2021-02-01,,209,嘉義縣,○○食品工廠,嘉義縣新港鄉三間村三間厝,嘉義縣新港鄉中工段,,,未達規模,,工廠
2021-02-01,,210,嘉義縣,保證責任嘉義縣○○果菜生產合作社,嘉義縣溪口鄉溪西村潭肚寮,嘉義縣溪口鄉游厝段游東小段,,,非屬工廠,,農產加工設施
2021-02-01,,268,嘉義縣,,無門牌,民雄鄉牛稠溪段,,,非屬工廠,,興建中建築物
2021-02-01,,269,嘉義縣,,無門牌,太保市過溝段過溝小段,,,非屬工廠,,興建中建築物
2021-02-01,,270,嘉義縣,○○有限公司,嘉義縣新港鄉潭大村大竹圍,新港鄉潭子墘段潭大小段,,,非屬工廠,,倉儲
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,66,嘉義縣,○○企業社,嘉義縣民雄鄉大崎村,嘉義縣民雄鄉大崎腳段287-8地號,,,已歇業,已裝設,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,67,嘉義縣,○○五金有限公司,嘉義縣民雄鄉興中村,嘉義縣民雄鄉民興段231,,,配合停工,已裝設,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,68,嘉義縣,○○板金有限公司,嘉義縣民雄鄉寮頂村,嘉義縣民雄鄉頂寮段頂寮小段361-1地號,,,查處後勒令停工,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,69,嘉義縣,○○企業社,嘉義縣水上鄉寬士村,嘉義縣水上鄉崎子頭段崎子頭小段0104地號,,,已歇業,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,70,嘉義縣,○○能源科技有限公司,嘉義縣水上鄉大崛村,嘉義縣水上鄉大崙段重劃小段0249地號,,,已歇業,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,71,嘉義縣,○○開發股份有限公司,嘉義縣水上鄉柳鄉村,嘉義縣水上鄉柳鄉段15260000,,,查處後勒令停工,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,72,嘉義縣,○○開發國際有限公司,嘉義縣水上鄉義興村,嘉義縣水上鄉新番子寮段2128、2129、2175地號,,,查處後勒令停工,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,73,嘉義縣,○○鐵材行,嘉義縣新港鄉潭大村,嘉義縣新港鄉大客段頂客小段60地號,,,查處後勒令停工,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,74,嘉義縣,○○有限公司,嘉義縣大林鎮過溪里,嘉義縣大林鎮新大埔美段3038、3039、3040、3044地號,,,查處後勒令停工,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,75,嘉義縣,○○產業有限公司,嘉義縣水上鄉三和村新和庄,嘉義縣水上鄉粗溪新段178地號,,,配合停工,已裝設,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,87,嘉義縣,○○企業有限公司,嘉義縣太保市春珠里,太保市春珠小段1180、1181、1182、1176、1176-1地號,,,配合停工,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,88,嘉義縣,○○企業社,民雄鄉興中村義橋,民雄鄉江厝店段616、616-1地號,,,執行停止供電供水,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,120,嘉義縣,○○企業社,嘉義縣新港鄉三間村三間厝,嘉義縣新港鄉三間厝段761、762地號,,,查處後勒令停工,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,178,嘉義縣,○○農藥行,嘉義縣朴子市竹村里鴨母寮,朴子市母寮段竹村小段,,,非屬工廠,已裝設,倉儲
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,179,嘉義縣,○○股份有限公司,嘉義縣中埔鄉和睦村司公廍,中埔鄉王爺段,,,非屬工廠,已裝設,倉儲
