公告日期,公告名稱,編號,縣市,工廠名稱或違章建築,地址,地號,使用分區,使用地,縣市政府查處情形,裝設AMI監控情形,違規建物樣態
2020-12-01,查處名單,40,臺南市,○○企業社,臺南市西港區劉厝里劉厝,西港區成功段,,,已歇業,,
2020-12-01,查處名單,41,臺南市,○○興業有限公司(改名○○宏),臺南市新市區永就里永就,新市區番子寮段,,,配合停工,,
2020-12-01,查處名單,42,臺南市,○○企業有限公司,臺南市安定區海寮里海寮,安定區海寮段,,,配合停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,40,臺南市,○○企業社,臺南市西港區劉厝里劉厝,西港區成功段319地號,,,已歇業,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,41,臺南市,○○企業有限公司,臺南市安定區海寮里海寮,安定區海寮段952地號,,,配合停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,103,臺南市,○○兒國際開發有限公司,臺南市安南區海前路,臺南市安南區海前段0789地號,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,104,臺南市,○○企業社,臺南市新化區全興里竹子腳,新化區竹子腳段586地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,105,臺南市,○○環工企業行,臺南市新化區全興里竹子腳,新化區竹子腳段586地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,106,臺南市,○○精機廠有限公司,臺南市安南區安和路,臺南市安南區安東段0841、0843、0847、0848地號、安和段1225、1251地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,107,臺南市,○○企業社,臺南市新化區太平里民生路,新化區新化段太子廟小段1615地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,108,臺南市,○○科技限公司,臺南市西港區永樂里大塭寮,西港區大塭寮段2533、2534地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,109,臺南市,○○企業社,臺南市安定區海寮里海寮,安定區海寮段1328.1329.1330地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,110,臺南市,○○達國際有限公司,臺南市安定區海寮里海寮,安定區海寮段1338地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,111,臺南市,○○機械有限公司,臺南市仁德區長興一街,仁德區岳王段,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,112,臺南市,○○龍有限公司,臺南市安南區安昌街,臺南市安南區長和段0146、0151、0153地號,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,113,臺南市,○○工程行,臺南市後壁區竹新里竹圍後,後壁區竹新段1035地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,114,臺南市,○○家具系統股份有限公司,臺南市新化區山脚里頂山腳,新化區頂山腳段485之3地號、485之5地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,115,臺南市,○○企業社,臺南市安南區怡安路,,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,116,臺南市,○○實業社,臺南市大內區頭社里頭社,頭社段255.255之18地號,,,配合停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,117,臺南市,○○企業社,臺南市新營區太南里太子宮,新營區太子段1858地號、1859地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,118,臺南市,○○科技有限公司,臺南市七股區義合里義合,七股區槺榔段1394地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,119,臺南市,○○精密機械有限公司,臺南市仁德區中正路一段,,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,120,臺南市,,,草店段841地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,121,臺南市,○○精工企業社,臺南市安南區大安街,,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,122,臺南市,○○奇洋菓子有限公司,臺南市東區仁和路,,,,查處後勒令停工,,
2021-01-04,經勘查非屬工廠及未達規模名單,103,臺南市,○○企業社,臺南市柳營區東昇里酪德街,枊營區枊營段溫厝廍小段,,,非屬工廠,,稻穀集貨場
2021-01-04,經勘查非屬工廠及未達規模名單,104,臺南市,○○工程行,臺南市新市區港墘里店頂,新市區港子墘段,,,非屬工廠,已裝設,住家
2021-01-04,經勘查非屬工廠及未達規模名單,105,臺南市,,,安定區港子尾段,,,非屬工廠,已裝設,空地
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),40,臺南市,○○企業社,臺南市西港區劉厝里劉厝,西港區成功段319地號,,,已歇業,已裝設,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),41,臺南市,○○企業有限公司,臺南市安定區海寮里海寮,安定區海寮段952地號,,,已歇業,已裝設,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),98,臺南市,○○兒國際開發有限公司,臺南市安南區海前路,臺南市安南區海前段0789地號,,,已歇業,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),99,臺南市,○○環工企業行,臺南市新化區全興里竹子腳,新化區竹子腳段586地號,,,查處後勒令停工,,
