公告日期,公告名稱,編號,縣市,工廠名稱或違章建築,地址,地號,使用分區,使用地,縣市政府查處情形,裝設AMI監控情形,違規建物樣態
2021-01-04,經勘查非屬工廠及未達規模名單,206,雲林縣,"○○宸 君",雲林縣元長鄉西庄村,元長鄉龍岩厝段,,,非屬工廠,已裝設,鋼構造洗車場
2021-01-04,經勘查非屬工廠及未達規模名單,207,雲林縣,○○水箱工業(股)公司,雲林縣崙背鄉阿勸村,雲林縣崙背鄉阿勸段,,,非屬工廠,已裝設,倉庫
2021-01-04,經勘查非屬工廠及未達規模名單,274,雲林縣,○○機械有限公司,雲林縣麥寮鄉工業路,麥寮鄉許厝寮段後安寮小段,,,非屬工廠,,非屬工廠
2021-02-01,,201,雲林縣,"○○宸 君",雲林縣元長鄉西庄村10鄰西庄,元長鄉龍岩厝段,,,非屬工廠,已裝設,鋼構造洗車場
2021-02-01,,202,雲林縣,○○水箱工業(股)公司,雲林縣崙背鄉阿勸村,雲林縣崙背鄉阿勸段,,,非屬工廠,已裝設,倉庫
2021-02-01,,267,雲林縣,○○機械有限公司,雲林縣麥寮鄉工業路,麥寮鄉許厝寮段後安寮小段,,,非屬工廠,,非屬工廠
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,176,雲林縣,"○○宸 君",雲林縣元長鄉西庄村10鄰西庄,元長鄉龍岩厝段,,,非屬工廠,已裝設,鋼構造洗車場
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,177,雲林縣,○○水箱工業(股)公司,雲林縣崙背鄉阿勸村,雲林縣崙背鄉阿勸段,,,非屬工廠,已裝設,倉庫
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,242,雲林縣,○○機械有限公司,雲林縣麥寮鄉工業路,麥寮鄉許厝寮段後安寮小段,,,非屬工廠,,非屬工廠
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,176,雲林縣,"○○宸 君",雲林縣元長鄉西庄村10鄰西庄,元長鄉龍岩厝段,,,非屬工廠,已裝設,鋼構造洗車場
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,177,雲林縣,○○水箱工業(股)公司,雲林縣崙背鄉阿勸村,雲林縣崙背鄉阿勸段,,,非屬工廠,已裝設,倉庫
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,241,雲林縣,○○機械有限公司,雲林縣麥寮鄉工業路,麥寮鄉許厝寮段後安寮小段,,,非屬工廠,,非屬工廠
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,204,雲林縣,"○○宸 君",雲林縣元長鄉西庄村10鄰西庄,元長鄉龍岩厝段,,,非屬工廠,已裝設,鋼構造洗車場
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,205,雲林縣,○○水箱工業(股)公司,雲林縣崙背鄉阿勸村,雲林縣崙背鄉阿勸段,,,非屬工廠,已裝設,倉庫
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,270,雲林縣,○○機械有限公司,麥寮鄉三盛村三盛路,麥寮鄉許厝寮段,,,非屬工廠,,非屬工廠
2021-05-03,(110年)經勘查非屬工廠及未達規模名單,28,雲林縣,○○機械工業有限公司,台西鄉和豐村忠孝路,,,,非屬工廠,,
2021-06-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形統計表,71,雲林縣,,,元長鄉龍岩厝段(0617)2579地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-06-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形統計表,103,雲林縣,,,雲林縣崙背鄉阿勸段891-1地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-06-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形統計表,132,雲林縣,,,麥寮鄉許厝寮段後安寮小段1070-3地號),一般農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2021-07-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年6月18日),72,雲林縣,,,元長鄉龍岩厝段2579地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-07-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年6月18日),104,雲林縣,,,崙背鄉阿勸段891-1地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-07-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年6月18日),133,雲林縣,,,麥寮鄉許厝寮段後安寮小段1070-3地號,一般農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2021-08-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年7月23日),76,雲林縣,,,元長鄉龍岩厝段2579地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-08-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年7月23日),110,雲林縣,,,崙背鄉阿勸段891-1地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-08-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年7月23日),141,雲林縣,,,麥寮鄉許厝寮段後安寮小段1070-3地號,一般農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2021-09-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年8月20日),74,雲林縣,,,元長鄉龍岩厝段2579地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-09-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年8月20日),135,雲林縣,,,麥寮鄉許厝寮段後安寮小段1070-3地號,一般農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2021-09-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年8月20日),156,雲林縣,,,崙背鄉阿勸段891-1地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-10-05,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年9月24日),73,雲林縣,,,元長鄉龍岩厝段2579地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-10-05,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年9月24日),138,雲林縣,,,麥寮鄉許厝寮段後安寮小段1070-3地號,一般農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2021-10-05,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年9月24日),159,雲林縣,,,崙背鄉阿勸段891-1地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-10-05,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年9月24日),234,雲林縣,,,臺西鄉崙中段789地號,一般農業區,農牧用地,裁處罰鍰,,
2021-11-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年10月22日),74,雲林縣,,,元長鄉龍岩厝段2579地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-11-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年10月22日),139,雲林縣,,,麥寮鄉許厝寮段後安寮小段1070-3地號,一般農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2021-11-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年10月22日),160,雲林縣,,,崙背鄉阿勸段891-1地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-11-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年10月22日),236,雲林縣,,,臺西鄉崙中段789地號,一般農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-12-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年11月21日),75,雲林縣,,,元長鄉龍岩厝段2579地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-12-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年11月21日),140,雲林縣,,,麥寮鄉許厝寮段後安寮小段1070-3地號,一般農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2021-12-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年11月21日),161,雲林縣,,,崙背鄉阿勸段891-1地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-12-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年11月21日),237,雲林縣,,,臺西鄉崙中段789地號,一般農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-01-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年12月19日),74,雲林縣,,,元長鄉龍岩厝段2579地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-01-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年12月19日),142,雲林縣,,,麥寮鄉許厝寮段後安寮小段1070-3地號,一般農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2022-01-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年12月19日),163,雲林縣,,,崙背鄉阿勸段891-1地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-01-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年12月19日),239,雲林縣,,,臺西鄉崙中段789地號,一般農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-02-09,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至111年1月22日),73,雲林縣,,,元長鄉龍岩厝段2579地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-02-09,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至111年1月22日),108,雲林縣,,,崙背鄉阿勸段891-1地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-02-09,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至111年1月22日),142,雲林縣,,,麥寮鄉許厝寮段後安寮小段1070-3地號,一般農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2022-02-09,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至111年1月22日),261,雲林縣,,,臺西鄉崙中段789地號,一般農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-02-09,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至111年1月22日),317,雲林縣,,,斗六市海豐崙段海豐崙小段1210地號,特定農業區,農牧用地,裁處罰鍰,,
2022-03-10,經濟部專案檢送109及110年度違反非都市土地使用管制案件查處情形表(截至111年2月20日),73,雲林縣,,,元長鄉龍岩厝段2579地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-03-10,經濟部專案檢送109及110年度違反非都市土地使用管制案件查處情形表(截至111年2月20日),108,雲林縣,,,崙背鄉阿勸段891-1地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-03-10,經濟部專案檢送109及110年度違反非都市土地使用管制案件查處情形表(截至111年2月20日),142,雲林縣,,,麥寮鄉許厝寮段後安寮小段1070-3地號,一般農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2022-03-10,經濟部專案檢送109及110年度違反非都市土地使用管制案件查處情形表(截至111年2月20日),262,雲林縣,,,臺西鄉崙中段789地號,一般農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-03-10,經濟部專案檢送109及110年度違反非都市土地使用管制案件查處情形表(截至111年2月20日),319,雲林縣,,,斗六市海豐崙段海豐崙小段1210地號,特定農業區,農牧用地,裁處罰鍰,,
2022-04-06,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至111年3月20日),73,雲林縣,,,元長鄉龍岩厝段2579地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
