公告日期,公告名稱,編號,縣市,工廠名稱或違章建築,地址,地號,使用分區,使用地,縣市政府查處情形,裝設AMI監控情形,違規建物樣態
2021-01-04,經勘查非屬工廠及未達規模名單,216,嘉義市,○○興業股份有限公司,嘉義市西區文化路,新厝段,,,未達規模,,鋼板買賣及加工，主要是倉庫，加工面積約60平方公尺
2021-01-04,經勘查非屬工廠及未達規模名單,291,嘉義市,○○企業社,嘉義市東區頂庄里義教街,,,,未達規模,,
2021-02-01,,211,嘉義市,○○興業股份有限公司,嘉義市西區文化路,新厝段,,,未達規模,,鋼板買賣及加工，主要是倉庫，加工面積約60平方公尺
2021-02-01,,289,嘉義市,○○企業社,嘉義市東區頂庄里義教街,,,,未達規模,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,186,嘉義市,○○興業股份有限公司,嘉義市西區文化路,新厝段,,,未達規模,,鋼板買賣及加工，主要是倉庫，加工面積約60平方公尺
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,266,嘉義市,○○企業社,嘉義市東區頂庄里義教街,,,,未達規模,,
2021-03-02,(110年)地方政府優先查處之疑似新增未登記工廠情形,24,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,,,,非屬工廠,,
2021-03-02,(110年)地方政府優先查處之疑似新增未登記工廠情形,25,嘉義市,○○神科技有限公司,西區新西里青年街,,,,非屬工廠,,資源回收廠
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,186,嘉義市,○○興業股份有限公司,嘉義市西區文化路,新厝段,,,未達規模,,鋼板買賣及加工，主要是倉庫，加工面積約60平方公尺
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,265,嘉義市,○○企業社,嘉義市東區頂庄里義教街,,,,未達規模,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,27,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,,,,非屬工廠,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,28,嘉義市,○○神科技有限公司,西區新西里青年街,,,,非屬工廠,,資源回收廠
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,214,嘉義市,○○興業股份有限公司,嘉義市西區文化路,新厝段,,,未達規模,,鋼板買賣及加工，主要是倉庫，加工面積約60平方公尺
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,296,嘉義市,○○企業社,嘉義市東區頂庄里義教街,,,,未達規模,,
2021-05-03,(110年)經勘查非屬工廠及未達規模名單,31,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,,,,非屬工廠,,
2021-05-03,(110年)經勘查非屬工廠及未達規模名單,32,嘉義市,○○神科技有限公司,西區新西里青年街,,,,非屬工廠,,資源回收廠
2021-06-04,(110年)地方政府優先查處之疑似新增未登記工廠情形,29,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,"下路頭段 164-16地號",,,配合停工,,
2021-07-01,(110年)地方政府優先查處之疑似新增未登記工廠情形,33,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,"下路頭段 164-16地號",,,配合停工,,
2021-08-02,(110年)地方政府優先查處之疑似新增未登記工廠情形,33,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,"下路頭段 164-16地號",,,配合停工,,
2021-09-02,(110年)地方政府優先查處之疑似新增未登記工廠情形,30,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,"下路頭段 164-16地號",,,配合停工,,
2021-09-02,(110年)地方政府優先查處之疑似新增未登記工廠情形,43,嘉義市,○○商行,西區北新里世賢路一段580巷,北園段243地號,,,已停工,,
2021-10-05,(110年)地方政府優先查處之疑似新增未登記工廠情形,30,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,"下路頭段 164-16地號",,,配合停工,,
2021-10-05,(110年)地方政府優先查處之疑似新增未登記工廠情形,41,嘉義市,○○商行,西區北新里世賢路一段580巷,北園段243地號,,,已停工,,
2021-11-02,(110年)地方政府優先查處之疑似新增未登記工廠情形,29,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,"下路頭段 164-16地號",,,配合停工,,
2021-11-02,(110年)地方政府優先查處之疑似新增未登記工廠情形,40,嘉義市,○○商行,西區北新里世賢路一段580巷,北園段243地號,,,已停工,,
2021-11-02,(110年)地方政府優先查處之疑似新增未登記工廠情形,49,嘉義市,○○廣告社,嘉義市西區北社尾路226巷,"北湖段118-3 地號",,,勒令停工,,
2021-11-02,(110年)地方政府優先查處之疑似新增未登記工廠情形,60,嘉義市,○○企業商行,,西區北湖段118-1地號,,,勒令停工,,
2021-12-01,經濟部專案檢送109年及110年違反都市計畫土地使用管制裁處情形表（截至110年11月21日）,39,嘉義市,,,頂庄段302地號,農業區,,裁處罰鍰,,
2021-12-01,(110年)地方政府優先查處之疑似新增未登記工廠情形,29,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,"下路頭段 164-16地號",,,配合停工,,
2021-12-01,(110年)地方政府優先查處之疑似新增未登記工廠情形,40,嘉義市,○○商行,西區北新里世賢路一段580巷,北園段243地號,,,已停工,,
2021-12-01,(110年)地方政府優先查處之疑似新增未登記工廠情形,49,嘉義市,○○廣告社,嘉義市西區北社尾路226巷,"北湖段118-3 地號",,,勒令停工,,
2021-12-01,(110年)地方政府優先查處之疑似新增未登記工廠情形,67,嘉義市,○○企業商行,,西區北湖段118-1地號,,,勒令停工,,
2022-01-04,經濟部專案檢送109年及110年違反都市計畫土地使用管制裁處情形表（截至110.12.19）,41,嘉義市,,,頂庄段302地號,農業區,,裁處罰鍰,,
2022-01-04,(110年)地方政府優先查處之疑似新增未登記工廠情形,26,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,"下路頭段 164-16地號",,,配合停工,,
2022-01-04,(110年)地方政府優先查處之疑似新增未登記工廠情形,36,嘉義市,○○商行,西區北新里世賢路一段580巷,北園段243地號,,,已停工,,
2022-01-04,(110年)地方政府優先查處之疑似新增未登記工廠情形,44,嘉義市,○○廣告社,嘉義市西區北社尾路226巷,"北湖段118-3 地號",,,已停工,,
2022-01-04,(110年)地方政府優先查處之疑似新增未登記工廠情形,68,嘉義市,○○興實業有限公司,,西區頭港段55地號,,,已停工,,
2022-01-04,(110年)地方政府優先查處之疑似新增未登記工廠情形,69,嘉義市,○○企業商行,,西區北湖段118-1地號,,,已停工,,
2022-02-09,經濟部專案檢送109年及110年違反都市計畫土地使用管制裁處情形表（截至111.1.22）,51,嘉義市,,,頂庄段302地號,農業區,,裁處罰鍰,,
2022-02-09,(110年)地方政府優先查處之疑似新增未登記工廠情形,26,嘉義市,○○豆漿店,嘉義市東區頂寮里立仁路,"下路頭段 164-16地號",,,配合停工,,
2022-02-09,(110年)地方政府優先查處之疑似新增未登記工廠情形,36,嘉義市,○○商行,西區北新里世賢路一段580巷,北園段243地號,,,已停工,,
2022-02-09,(110年)地方政府優先查處之疑似新增未登記工廠情形,44,嘉義市,○○廣告社,嘉義市西區北社尾路226巷,"北湖段118-3 地號",,,已停工,,
2022-02-09,(110年)地方政府優先查處之疑似新增未登記工廠情形,66,嘉義市,○○興實業有限公司,,西區頭港段55地號,,,已停工,,
2022-02-09,(110年)地方政府優先查處之疑似新增未登記工廠情形,67,嘉義市,○○企業商行,,西區北湖段118-1地號,,,已停工,,
2022-03-10,經濟部專案檢送109年及110年違反都市計畫土地使用管制查處情形表（截至110.2.20）,51,嘉義市,,,頂庄段302地號,農業區,,裁處罰鍰,,
2022-03-10,經濟部專案檢送109年及110年違反都市計畫土地使用管制查處情形表（截至110.2.20）,52,嘉義市,,,下路頭段164-14地號,住宅區,,裁處罰鍰,,
