公告日期,公告名稱,編號,縣市,工廠名稱或違章建築,地址,地號,使用分區,使用地,縣市政府查處情形,裝設AMI監控情形,違規建物樣態
2021-01-04,經勘查屬(新增)未登記工廠名單,86,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,87,臺北市,○○機械工程股份有限公司,臺北市南港區研究院路,南港區舊莊段四小段279地號,,,查處後勒令停工,,
2021-01-04,經勘查非屬工廠及未達規模名單,1,臺北市,○○處理廠興業,臺北市北投區洲美街,,,,非屬工廠,,資源回收業
2021-01-04,經勘查非屬工廠及未達規模名單,278,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-01-04,經勘查非屬工廠及未達規模名單,279,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-01-04,經勘查非屬工廠及未達規模名單,280,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,住家
2021-01-04,經勘查非屬工廠及未達規模名單,281,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-02-01,地方政府優先查處之疑似新增未登記工廠情形(109年),87,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,,
2021-02-01,,1,臺北市,○○處理廠興業,臺北市北投區洲美街,,,,非屬工廠,,資源回收業
2021-02-01,,271,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-02-01,,272,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-02-01,,273,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,住家
2021-02-01,,274,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,89,臺北市,○○有限公司,臺北市松山區南京東,松山區美仁段一小段139地號,,,已歇業,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,1,臺北市,○○處理廠興業,臺北市北投區洲美街,,,,非屬工廠,,資源回收業
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,246,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,247,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,248,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,住家
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,249,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,87,臺北市,○○有限公司,臺北市松山區南京東,松山區美仁段一小段139地號,,,已歇業,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,1,臺北市,○○處理廠興業,臺北市北投區洲美街,,,,非屬工廠,,資源回收業
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,245,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,246,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,247,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,住家
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,248,臺北市,,信義區信義路,信義區祥和段三小段,,,非屬工廠,,
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,1,臺北市,○○處理廠興業,臺北市北投區洲美街,,,,非屬工廠,,資源回收業
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,274,臺北市,,信義區信義路,信義區祥和段,,,非屬工廠,,
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,275,臺北市,,信義區信義路,信義區祥和段,,,非屬工廠,,
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,276,臺北市,,信義區信義路,信義區祥和段,,,非屬工廠,,住家
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,277,臺北市,,信義區信義路,信義區祥和段,,,非屬工廠,,
2021-05-03,(109年)地方政府優先查處之疑似新增未登記工廠情形,84,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,,
2021-06-04,(109)地方政府優先查處之疑似新增未登記工廠情形,73,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,是,
2021-07-01,(109年)地方政府優先查處之疑似新增未登記工廠情形,73,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,是,
2021-08-02,(109年)地方政府優先查處之疑似新增未登記工廠情形,73,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,是,
2021-09-02,地方政府優先查處之疑似新增未登記工廠情形,72,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,是,
2021-10-05,(109年)地方政府優先查處之疑似新增未登記工廠情形,72,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,是,
2021-11-02,(109年)地方政府優先查處之疑似新增未登記工廠情形,72,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,是,
2021-12-01,(109年)地方政府優先查處之疑似新增未登記工廠情形,71,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,是,
2022-01-04,(109年)地方政府優先查處之疑似新增未登記工廠情形,71,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,是,
2022-02-09,(109年)地方政府優先查處之疑似新增未登記工廠情形,71,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,是,
2022-03-10,(109年)地方政府優先查處之疑似新增未登記工廠情形,71,臺北市,○○有限公司,臺北市松山區南京東路,松山區美仁段一小段139地號,,,已歇業,是,
