公告日期,公告名稱,編號,縣市,工廠名稱或違章建築,地址,地號,使用分區,使用地,縣市政府查處情形,裝設AMI監控情形,違規建物樣態
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,25,宜蘭縣,,員山鄉惠好路,員山鄉新三泰段,,,非屬工廠,,倉庫使用
2021-05-03,(110年)經勘查非屬工廠及未達規模名單,29,宜蘭縣,,員山鄉惠好路,員山鄉新三泰段,,,非屬工廠,,倉庫使用
2021-05-03,(110年)經勘查非屬工廠及未達規模名單,42,宜蘭縣,,,壯圍鄉功勞段,,,非屬工廠,,
2021-09-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年8月20日),247,宜蘭縣,,,礁溪鄉民生段689地號,特定農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2021-10-05,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年9月24日),232,宜蘭縣,,,員山鄉新三泰段1143地號,特定農業區,農牧用地,裁處罰鍰,,
2021-10-05,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年9月24日),277,宜蘭縣,,,頭城鎮新打馬煙段570地號,一般農業區,農牧用地,裁處罰鍰,,
2021-10-05,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年9月24日),278,宜蘭縣,,,礁溪鄉民生段689地號,特定農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2021-11-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年10月22日),234,宜蘭縣,,,員山鄉新三泰段1143地號,特定農業區,農牧用地,裁處罰鍰,,
2021-11-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年10月22日),279,宜蘭縣,,,頭城鎮新打馬煙段570地號,一般農業區,農牧用地,裁處罰鍰,,
2021-11-02,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年10月22日),280,宜蘭縣,,,礁溪鄉民生段689地號,特定農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2021-12-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年11月21日),235,宜蘭縣,,,員山鄉新三泰段1143地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-12-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年11月21日),280,宜蘭縣,,,頭城鎮新打馬煙段570地號,一般農業區,農牧用地,裁處罰鍰,,
2021-12-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年11月21日),281,宜蘭縣,,,礁溪鄉民生段689地號,特定農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2022-01-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年12月19日),237,宜蘭縣,,,員山鄉新三泰段1143地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-01-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年12月19日),283,宜蘭縣,,,頭城鎮新打馬煙段570地號,一般農業區,農牧用地,裁處罰鍰,,
2022-01-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年12月19日),284,宜蘭縣,,,礁溪鄉民生段689地號,特定農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2022-01-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年12月19日),318,宜蘭縣,,,礁溪鄉白雲段338地號,特定農業區,農牧用地,裁處罰鍰,,
2022-02-09,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至111年1月22日),238,宜蘭縣,,,員山鄉新三泰段1143地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-02-09,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至111年1月22日),286,宜蘭縣,,,頭城鎮新打馬煙段570地號,一般農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-02-09,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至111年1月22日),287,宜蘭縣,,,礁溪鄉民生段689地號,特定農業區,農牧用地,依工廠管理輔導法規定核准納管,,
2022-02-09,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至111年1月22日),326,宜蘭縣,,,礁溪鄉白雲段338地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2022-03-10,經濟部專案檢送109及110年度違反非都市土地使用管制案件查處情形表(截至111年2月20日),239,宜蘭縣,,,員山鄉新三泰段1143地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
