公告日期,公告名稱,編號,縣市,工廠名稱或違章建築,地址,地號,使用分區,使用地,縣市政府查處情形,裝設AMI監控情形,違規建物樣態
2021-01-04,經勘查非屬工廠及未達規模名單,112,新竹縣,○○電子科技股份有限公司,祥喜路,湖口鄉祥湖段,,,非屬工廠,已裝設,鐵皮屋
2021-01-04,經勘查非屬工廠及未達規模名單,113,新竹縣,○○有限公司,湖新路,湖口鄉畚箕段,,,非屬工廠,已裝設,鐵皮屋
2021-01-04,經勘查非屬工廠及未達規模名單,114,新竹縣,○○科技興業有限公司,義民路,新埔鎮義民段,,,非屬工廠,已裝設,鐵皮屋
2021-02-01,,106,新竹縣,○○電子科技股份有限公司,祥喜路,湖口鄉祥湖段,,,非屬工廠,已裝設,鐵皮屋
2021-02-01,,107,新竹縣,○○有限公司,湖新路,湖口鄉畚箕段,,,非屬工廠,已裝設,鐵皮屋
2021-02-01,,108,新竹縣,○○科技興業有限公司,義民路三段,新埔鎮義民段,,,非屬工廠,已裝設,鐵皮屋
2021-03-02,地方政府優先查處之疑似新增未登記工廠情形,29,新竹縣,○○科技股份有限公司,新竹縣關西鎮石光里,,,,已歇業,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,121,新竹縣,○○環保科技有限公司,芎林鄉上山村,芎林鄉上山貳段280地號,,,復查已停工,,
2021-04-06,地方政府優先查處之疑似新增未登記工廠情形,26,新竹縣,○○科技股份有限公司,新竹縣關西鎮石光里石光子,關西鎮石光段1697、1734地號,,,已歇業,,
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,108,新竹縣,○○電子科技股份有限公司,祥喜路,湖口鄉祥湖段,,,非屬工廠,已裝設,鐵皮屋
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,109,新竹縣,○○有限公司,湖新路,湖口鄉畚箕段,,,非屬工廠,已裝設,鐵皮屋
2021-05-03,(109年)經勘查非屬工廠及未達規模名單,110,新竹縣,○○科技興業有限公司,義民路,新埔鎮義民段,,,非屬工廠,已裝設,鐵皮屋
2021-05-03,(109年)地方政府優先查處之疑似新增未登記工廠情形,111,新竹縣,○○環保科技有限公司,芎林鄉上山村,芎林鄉上山貳段280地號,,,復查已停工,,
2021-05-03,(110年)地方政府優先查處之疑似新增未登記工廠情形,31,新竹縣,○○科技股份有限公司,新竹縣關西鎮石光里石光子243巷,關西鎮石光段1697、1734地號,,,已歇業,,
2021-06-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形統計表,44,新竹縣,,,湖口鄉祥湖段(0825)387地號,一般農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-06-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形統計表,45,新竹縣,,,湖口鄉畚箕段(822)128-2地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-06-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形統計表,46,新竹縣,,,"新埔鎮義民段(379)1601,1602地號",特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-06-04,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形統計表,195,新竹縣,,,關西鎮石光段1697、1734地號,特定農業區,農牧用地,裁處罰鍰,,
2021-06-04,(109)地方政府優先查處之疑似新增未登記工廠情形,101,新竹縣,○○環保科技有限公司,芎林鄉上山村,芎林鄉上山貳段280地號,,,配合停工,是,
2021-06-04,(110年)地方政府優先查處之疑似新增未登記工廠情形,27,新竹縣,○○科技股份有限公司,新竹縣關西鎮石光里石光子243巷,關西鎮石光段1697、1734地號,,,已歇業,,
2021-07-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年6月18日),44,新竹縣,,,湖口鄉祥湖段387地號,一般農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-07-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年6月18日),45,新竹縣,,,湖口鄉畚箕段128-2地號,特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-07-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年6月18日),46,新竹縣,,,"新埔鎮義民段1601,1602地號",特定農業區,農牧用地,"裁處罰鍰                  已停止供水供電",,
2021-07-01,經濟部專案檢送109及110年違反非都市土地使用管制案件查處情形表(截至110年6月18日),192,新竹縣,,,關西鎮石光段1697、1734地號,特定農業區,農牧用地,裁處罰鍰,,
2021-07-01,(109年)地方政府優先查處之疑似新增未登記工廠情形,103,新竹縣,○○環保科技有限公司,芎林鄉上山村,芎林鄉上山貳段280地號,,,配合停工,是,
2021-07-01,(110年)地方政府優先查處之疑似新增未登記工廠情形,31,新竹縣,○○科技股份有限公司,新竹縣關西鎮石光里石光子243巷,關西鎮石光段1697、1734地號,,,已歇業,是,
