公告日期,公告名稱,編號,縣市,工廠名稱或違章建築,地址,地號,使用分區,使用地,縣市政府查處情形,裝設AMI監控情形,違規建物樣態
2020-12-01,查處名單,20,桃園市,○○機械模型行,福德一路,八德區大明段,,,查處後勒令停工,,
2020-12-01,查處名單,21,桃園市,○○得股份有限公司,福德一路,八德區大明段,,,查處後勒令停工,,
2020-12-01,查處名單,82,桃園市,○○科技有限公司,桃園市八德區永豐路,永豐段,,,已歇業,,
2020-12-01,查處名單,83,桃園市,○○宏技實業有限公司,桃園市八德區永豐路,茄苳段,,,已歇業,,
2020-12-01,查處名單,84,桃園市,○○企業有限公司,桃園市蘆竹區富華路,宏華段,,,已歇業,,
2020-12-01,查處名單,85,桃園市,○○瀝青股份有限公司,桃園市新屋區文化路,蚵殼港段深圳小段,,,執行停止供電供水,,
2021-01-04,經勘查屬(新增)未登記工廠名單,20,桃園市,○○機械模型行,福德一路,八德區大明段1193地號,,,查處後勒令停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,21,桃園市,○○得股份有限公司,福德一路,八德區大明段1193地號,,,查處後勒令停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,78,桃園市,○○科技有限公司,桃園市八德區永豐路,永豐段354-2地號,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,79,桃園市,○○宏技實業有限公司,桃園市八德區永豐路,茄苳段700-8地號,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,80,桃園市,○○企業有限公司,桃園市蘆竹區富華路,宏華段141地號,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,81,桃園市,○○瀝青股份有限公司,桃園市新屋區文化路,蚵殼港段深圳小段20、20-7、20-8、24-1,,,執行停止供電供水,,
2021-01-04,經勘查屬(新增)未登記工廠名單,98,桃園市,○○塑膠科技有限公司,桃園市龜山區萬壽路,龜山區龍壽段81地號,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,99,桃園市,○○工業有限公司,桃園市龜山區萬壽路,龜山區龍壽段77地號,,,已歇業,,
2021-01-04,經勘查屬(新增)未登記工廠名單,100,桃園市,○○金實業有限公司,桃園市龜山區大湖路,龜山區警大段313地號,,,已歇業,,
2021-01-04,經勘查非屬工廠及未達規模名單,30,桃園市,○○企業有限公司,廣福路,八德區白鷺段,,,非屬工廠,已裝設,倉庫使用
2021-01-04,經勘查非屬工廠及未達規模名單,31,桃園市,,廣福路,八德區白鷺段,,,非屬工廠,已裝設,倉庫、空廠房及汽修場使用
2021-01-04,經勘查非屬工廠及未達規模名單,32,桃園市,,和強路,八德區東勇段,,,非屬工廠,,倉庫使用
2021-01-04,經勘查非屬工廠及未達規模名單,33,桃園市,,和平路,八德區中華段,,,非屬工廠,已裝設,倉庫使用
2021-01-04,經勘查非屬工廠及未達規模名單,34,桃園市,○○汽車修理廠,健行路,龍潭區健行段,,,非屬工廠,已裝設,住家使用
2021-01-04,經勘查非屬工廠及未達規模名單,35,桃園市,,健行路,龍潭區永興段,,,非屬工廠,已裝設,空廠房
2021-01-04,經勘查非屬工廠及未達規模名單,36,桃園市,,長興路,八德區新興段,,,非屬工廠,已裝設,資源回收
2021-01-04,經勘查非屬工廠及未達規模名單,37,桃園市,,武中路,平鎮區東金段,,,非屬工廠,已裝設,鷹架倉庫使用
2021-01-04,經勘查非屬工廠及未達規模名單,38,桃園市,,塔腳二路,觀音區塔腳段,,,非屬工廠,已裝設,倉庫使用
2021-01-04,經勘查非屬工廠及未達規模名單,39,桃園市,,桃園市大園區菓林里菓林路,,,,未達規模,已裝設,未達規模
2021-01-04,經勘查非屬工廠及未達規模名單,40,桃園市,,八德區東勇街,八德區大仁段,,,非屬工廠,已裝設,空廠房
2021-01-04,經勘查非屬工廠及未達規模名單,41,桃園市,,八德區廣興路,八德區建國段,,,非屬工廠,,農舍住家木材堆置使用
2021-01-04,經勘查非屬工廠及未達規模名單,42,桃園市,○○機械有限公司,八德區廣興路,八德區廣興段,,,未達規模,,未達規模
