公告日期,公告名稱,編號,縣市,工廠名稱或違章建築,地址,地號,使用分區,使用地,縣市政府查處情形,裝設AMI監控情形,違規建物樣態
2020-12-01,查處名單,22,臺中市,○○企業股份有限公司,臺中市霧峰區五福路,霧峰區五福段,,,未停工裁處停止供電供水,,
2020-12-01,查處名單,23,臺中市,○○企業有限公司,臺中市神岡區和睦路,神岡區新庄子段(重測後：新興段),,,未停工裁處停止供電供水,,
2020-12-01,查處名單,24,臺中市,○○光電股份有限公司,霧峰區峰谷路,,,,復查已停工,,
2020-12-01,查處名單,25,臺中市,○○宏禕股份有限公司(復查大門深鎖),霧峰區新埔路,霧峰區新埔段,,,復查已停工,,
2020-12-01,查處名單,26,臺中市,○○系統工程股份有限公司,臺中市大雅區平和二路,,,,復查已停工,,
2020-12-01,查處名單,27,臺中市,○○鑫精密有限公司,大里區東興路,大里區涼傘樹段,,,未停工裁處停止供電供水,,
2020-12-01,查處名單,28,臺中市,○○工業有限公司,霧峰區民生路,霧峰區文化段,,,復查已停工,,
2020-12-01,查處名單,29,臺中市,○○精密實業有限公司,大里區東昇路,大里區內新段,,,查處後勒令停工,,
2020-12-01,查處名單,30,臺中市,○○機械廠,大里區東昇路,大里區內新段,,,查處後勒令停工,,
2020-12-01,查處名單,31,臺中市,○○企業社,霧峰區民生路,霧峰區文化段,,,執行停止供電,,
2020-12-01,查處名單,32,臺中市,○○工業有限公司,霧峰區民生路,霧峰區文化段,,,執行停止供電,,
2020-12-01,查處名單,33,臺中市,○○企業社,大雅區大林路,大雅區自強段,,,復查已停工,,
2020-12-01,查處名單,34,臺中市,○○有限公司,大雅區秀山三路,大雅區自立段,,,復查已停工,,
2020-12-01,查處名單,35,臺中市,○○工業股份有限公司,霧峰區峰堤路,霧峰區北柳段,,,復查已停工,,
2020-12-01,查處名單,36,臺中市,○○傢俱噴漆廠,大雅區秀山路,大雅區秀山段,,,復查已停工,,
2020-12-01,查處名單,37,臺中市,○○企業有限公司,大甲區東西七路,大甲區甲民段,,,復查已停工,,
2020-12-01,查處名單,38,臺中市,,霧峰區丁台路,,,,拆除,,
2020-12-01,查處名單,39,臺中市,○○科技有限公司,大安區興安路,大安區三塊厝段,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,22,臺中市,○○企業股份有限公司,臺中市霧峰區五福路,霧峰區五福段(7741)931地號,,,復查已停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,23,臺中市,○○企業有限公司,臺中市神岡區和睦路,神岡區新庄子段(3304)664地號(重測後：新興段1151地號),,,復查已停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,24,臺中市,○○光電股份有限公司,霧峰區峰谷路,霧峰區峰谷段284-1地號,,,復查已停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,25,臺中市,○○宏禕股份有限公司,霧峰區新埔路,霧峰區新埔段(7742)163地號,,,復查已停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,26,臺中市,○○系統工程股份有限公司,臺中市大雅區平和二路,大雅區秀雅段167、168地號,,,復查已停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,27,臺中市,○○鑫精密有限公司,大里區東興路,大里區涼傘樹段819-1地號,,,復查已停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,28,臺中市,○○工業有限公司,霧峰區民生路,霧峰區文化段983-2、981-8地號,,,復查已停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,29,臺中市,○○精密實業有限公司,大里區東昇路,大里區內新段68地號,,,復查已停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,30,臺中市,○○機械廠,大里區東昇路,大里區內新段69地號,,,復查已停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,31,臺中市,○○企業社,霧峰區民生路,霧峰區文化段990-1地號,,,執行停止供電,,
2021-01-04,經勘查屬(新增)未登記工廠名單,32,臺中市,○○工業有限公司,霧峰區民生路,霧峰區文化段991-2地號,,,執行停止供電,,
2021-01-04,經勘查屬(新增)未登記工廠名單,33,臺中市,○○企業社,大雅區大林路,大雅區自強段1631地號,,,復查已停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,34,臺中市,○○有限公司,大雅區秀山三路,大雅區自立段215地號,,,復查已停工,已裝設,
2021-01-04,經勘查屬(新增)未登記工廠名單,35,臺中市,○○工業股份有限公司,霧峰區峰堤路,霧峰區北柳段709-2地號,,,復查已停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,36,臺中市,○○傢俱噴漆廠,大雅區秀山路,大雅區秀山段88地號,,,復查已停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,37,臺中市,○○企業有限公司,大甲區東西七路,大甲區甲民段214地號,,,復查已停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,38,臺中市,,霧峰區丁台路,丁台三段1042、1043地號,,,拆除,,
2021-01-04,經勘查屬(新增)未登記工廠名單,39,臺中市,○○科技有限公司,大安區興安路,大安區三塊厝段120地號,,,未停工裁處停止供電供水,,
2021-01-04,經勘查屬(新增)未登記工廠名單,101,臺中市,○○氣動工具有限公司,霧峰區民生路,霧峰區文化段983-3、981-9地號,,,查處後勒令停工,,
2021-01-04,經勘查屬(新增)未登記工廠名單,102,臺中市,○○金屬企業有限公司,霧峰區民生路,霧峰區文化段985地號,,,查處後勒令停工,,
2021-01-04,經勘查非屬工廠及未達規模名單,48,臺中市,○○勇精密工業股份有限公司,大里區大里路,大里區大里段,,,未達規模,,道路相關設施(含停車場)
2021-01-04,經勘查非屬工廠及未達規模名單,49,臺中市,,太平區長龍路,太平區聖和段,,,非屬工廠,已裝設,倉儲
2021-01-04,經勘查非屬工廠及未達規模名單,50,臺中市,,大里區草堤路,大里區西湖北段,,,非屬工廠,,
2021-01-04,經勘查非屬工廠及未達規模名單,51,臺中市,○○實業有限公司,大里區國中路,大里區夏田西段,,,非屬工廠,已裝設,
2021-01-04,經勘查非屬工廠及未達規模名單,52,臺中市,,臺中市霧峰區北豐路,霧峰區北勢段,,,非屬工廠,,
2021-01-04,經勘查非屬工廠及未達規模名單,53,臺中市,○○科技股份有限公司,太平區環太東路,太平區中山段,,,未達規模,已裝設,製造業
2021-01-04,經勘查非屬工廠及未達規模名單,54,臺中市,○○機械股份有限公司,太平區大源十九街,太平區大源段,,,非屬工廠,已裝設,
2021-01-04,經勘查非屬工廠及未達規模名單,55,臺中市,○○工業社,太平區長龍路,太平區內城段,,,未達規模,已裝設,製造業
2021-01-04,經勘查非屬工廠及未達規模名單,56,臺中市,○○崎實業有限公司,太平區長龍路,太平區內城段,,,未達規模,已裝設,製造業
2021-01-04,經勘查非屬工廠及未達規模名單,57,臺中市,○○實業有限公司,太平區長龍路,太平區內城段,,,未達規模,已裝設,製造業
2021-01-04,經勘查非屬工廠及未達規模名單,58,臺中市,○○企業社,大里區西湖路,大里區西湖南段,,,未達規模,,製造業
2021-01-04,經勘查非屬工廠及未達規模名單,59,臺中市,○○包裝材料有限公司,大里區西湖路,大里區西湖南段,,,非屬工廠,,非屬製造業
2021-01-04,經勘查非屬工廠及未達規模名單,60,臺中市,,大里區西湖路,大里區西湖南段,,,非屬工廠,,非屬製造業
2021-01-04,經勘查非屬工廠及未達規模名單,61,臺中市,,太平區長龍路,太平區頭汴坑段,,,非屬工廠,已裝設,倉儲
2021-01-04,經勘查非屬工廠及未達規模名單,62,臺中市,○○精密工業股份有限公司,龍井區遊園南路,龍井區新東段,,,未達規模,已裝設,製造業
